date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:26	83162/83162	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:48:10%20GMT	https://themepure.net/template/educal/educal/index.html	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/index.html	(from )
11:41:27	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Nov%202021%2016:00:05%20GMT	https://themepure.net/robots.txt		(from )
11:41:27	1844/1844	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Nov%202021%2011:48:09%20GMT	https://themepure.net/template/educal/educal/assets/img/favicon.png	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/img/favicon.png	(from https://themepure.net/template/educal/educal/index.html)
11:41:28	3589/3589	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:05%20GMT	https://themepure.net/template/educal/educal/assets/css/preloader.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/preloader.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:28	153058/153058	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:04%20GMT	https://themepure.net/template/educal/educal/assets/css/bootstrap.min.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/bootstrap.min.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:28	3103/3103	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:05%20GMT	https://themepure.net/template/educal/educal/assets/css/meanmenu.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/meanmenu.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:29	68606/68606	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:04%20GMT	https://themepure.net/template/educal/educal/assets/css/animate.min.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/animate.min.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:29	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:05%20GMT	https://themepure.net/template/educal/educal/assets/css/owl.carousel.min.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/owl.carousel.min.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:29	15806/15806	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:05%20GMT	https://themepure.net/template/educal/educal/assets/css/swiper-bundle.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/swiper-bundle.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:29	1221/1221	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:04%20GMT	https://themepure.net/template/educal/educal/assets/css/backToTop.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/backToTop.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:30	12795/12795	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:05%20GMT	https://themepure.net/template/educal/educal/assets/css/jquery.fancybox.min.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/jquery.fancybox.min.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:30	173752/173752	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:05%20GMT	https://themepure.net/template/educal/educal/assets/css/fontAwesome5Pro.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/fontAwesome5Pro.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:30	25252/25252	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:04%20GMT	https://themepure.net/template/educal/educal/assets/css/elegantFont.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/elegantFont.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:30	8364/8364	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:04%20GMT	https://themepure.net/template/educal/educal/assets/css/default.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/default.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:31	175340/175340	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:48:05%20GMT	https://themepure.net/template/educal/educal/assets/css/style.css	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/css/style.css	(from https://themepure.net/template/educal/educal/index.html)
11:41:31	2841/2841	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Nov%202021%2011:48:09%20GMT	https://themepure.net/template/educal/educal/assets/img/logo/logo-text-2.png	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/img/logo/logo-text-2.png	(from https://themepure.net/template/educal/educal/index.html)
11:41:31	15934/15934	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Nov%202021%2011:48:09%20GMT	https://themepure.net/template/educal/educal/assets/img/logo/logo-icon.png	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/img/logo/logo-icon.png	(from https://themepure.net/template/educal/educal/index.html)
11:41:31	2712/2712	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Nov%202021%2011:48:09%20GMT	https://themepure.net/template/educal/educal/assets/img/logo/logo.png	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/assets/img/logo/logo.png	(from https://themepure.net/template/educal/educal/index.html)
11:41:32	87631/87631	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:48:10%20GMT	https://themepure.net/template/educal/educal/course-grid.html	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/course-grid.html	(from https://themepure.net/template/educal/educal/index.html)
11:41:33	96463/96463	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:48:10%20GMT	https://themepure.net/template/educal/educal/course-details.html	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/course-details.html	(from https://themepure.net/template/educal/educal/index.html)
11:41:33	87681/87681	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:48:10%20GMT	https://themepure.net/template/educal/educal/index-2.html	E:/xampp/htdocs/edu/edu/themepure.net/template/educal/educal/index-2.html	(from https://themepure.net/template/educal/educal/index.html)
